Category,Rank,Brand,Model,Price (£),Rating,Reviews Count,Key Spec 1,Key Spec 2,Key Spec 3,Key Spec 4,Best Retailer URL
Air Fryers,1,Tower,Tower T17088 Xpress Pro 11L Dual Basket Air Fryer,89.99,4.7,1547,capacity: 11L total (5.5L + 5.5L dual baskets),power: 2400W,"functions: Air fry, bake, roast, grill, reheat",dishwasher_safe_parts: True,https://www.argos.co.uk/product/7163184.do
Air Fryers,2,Ninja,Ninja Foodi MAX Dual Zone AF451UK 9.5L Air Fryer,179.99,4.8,3254,capacity: 9.5L total (4.75L + 4.75L dual zone),power: 2470W,"functions: Air fry, max crisp, roast, bake, reheat, dehydrate, sync, match cook",dishwasher_safe_parts: True,https://www.argos.co.uk/product/1486623.do
Air Fryers,3,Tefal,Tefal Easy Fry & Grill EY505D 4.2L Digital Air Fryer,79.99,4.5,892,capacity: 4.2L,power: 1550W,"functions: Air fry, grill, roast, bake",dishwasher_safe_parts: True,https://www.argos.co.uk/product/1486630.do
Air Fryers,4,Ninja,Ninja 3.8L Air Fryer and Dehydrator AF100UK,98.99,4.8,2916,capacity: 3.8L,power: 1550W,"functions: Air fry, max crisp, roast, bake, dehydrate, reheat",dishwasher_safe_parts: True,https://www.argos.co.uk/product/1166039.do
Air Fryers,5,Bosch,Bosch Series 6 Air Fryer and Grill 7.2L,139.99,4.9,212,capacity: 7.2L,power: 1800W,"functions: Air fry, grill, bake, roast, defrost",dishwasher_safe_parts: True,https://www.argos.co.uk/product/7579132.do
Coffee Machines,1,De'Longhi,De'Longhi Dinamica Plus ECAM380.75.B Bean-to-Cup Coffee Machine,449.99,4.7,856,type: Bean-to-cup automatic,water_tank: 1.8L,bean_hopper: 300g,pump_pressure: 15 bar,https://www.argos.co.uk/product/8124951.do
Coffee Machines,2,De'Longhi,De'Longhi Magnifica S ECAM22.110.B Bean-to-Cup Coffee Machine,249.99,4.6,1247,type: Bean-to-cup automatic,water_tank: 1.8L,bean_hopper: 250g,pump_pressure: 15 bar,https://www.argos.co.uk/product/1951392.do
Coffee Machines,3,Sage,Sage the Barista Express SES875 Coffee Machine,499.95,4.8,2103,type: Semi-automatic espresso with integrated grinder,water_tank: 2L,bean_hopper: 250g,pump_pressure: 15 bar Italian pump,https://www.argos.co.uk/product/5052871.do
Coffee Machines,4,Nespresso,Nespresso Vertuo Pop+ ENV135 Coffee Machine,69.99,4.5,678,type: Capsule/pod coffee machine,water_tank: 0.6L,capsule_container: Up to 10 used capsules,pump_pressure: Centrifusion extraction,https://www.argos.co.uk/product/6172895.do
Coffee Machines,5,Melitta,Melitta Caffeo Solo E950-101 Bean-to-Cup Coffee Machine,229.99,4.4,423,type: Bean-to-cup automatic,water_tank: 1.2L,bean_hopper: 125g,pump_pressure: 15 bar,https://www.argos.co.uk/product/5143761.do
Cordless Vacuums,1,Dyson,Dyson V15 Detect Absolute Cordless Vacuum Cleaner,449.99,4.7,1856,runtime: Up to 60 minutes,dustbin_capacity: 0.76L,suction_power: 240AW,"features: Laser Slim Fluffy head, piezo sensor for particle count, LCD screen, whole-machine HEPA filtration",https://www.argos.co.uk/product/9019288.do
Cordless Vacuums,2,Dyson,Dyson V8 Absolute Pet Cordless Vacuum Cleaner,250.0,4.6,1405,runtime: Up to 40 minutes,dustbin_capacity: 0.54L,suction_power: 115AW,"features: Tangle-free turbine tool, whole-machine filtration, 2-tier radial cyclones",https://www.argos.co.uk/product/3261341.do
Cordless Vacuums,3,Shark,Shark Anti Hair Wrap & Flexology Cordless Vacuum Cleaner,169.99,4.6,3362,runtime: Up to 40 minutes,dustbin_capacity: 0.64L,suction_power: Not specified,"features: Anti Hair Wrap technology, Flexology bendable wand, LED headlights, pet multi-tool",https://www.argos.co.uk/product/5795743.do
Cordless Vacuums,4,Henry,Henry Hetty Quick Cordless Vacuum Cleaner,200.0,4.7,207,runtime: Up to 30 minutes,dustbin_capacity: 0.7L,suction_power: Not specified,"features: TriTex floor head, Auto Brush Bar, lightweight, washable filters, LED power gauge",https://www.argos.co.uk/product/1951392.do
Cordless Vacuums,5,Shark,Shark PowerPro Cordless Vacuum Cleaner,179.99,4.5,597,runtime: Up to 60 minutes,dustbin_capacity: 0.64L,suction_power: Not specified,"features: PowerFins technology, Clean Sense IQ, Anti Hair Wrap, pet multi-tool, LED headlights",https://www.argos.co.uk/product/7181692.do
Dehumidifiers,1,Meaco,Meaco Arete One 12L Dehumidifier & Air Purifier,180.0,4.9,1639,extraction_rate: 12L per day,coverage: Up to 35m²,water_tank: 2.5L,power_consumption: 186W,https://www.argos.co.uk/product/2910349.do
Dehumidifiers,2,Meaco,Meaco Dry Arete One 25L Dehumidifier,300.0,4.9,663,extraction_rate: 25L per day,coverage: Up to 75m²,water_tank: 4L,power_consumption: 374W,https://www.argos.co.uk/product/8809492.do
Dehumidifiers,3,Princess,Princess Smart 20 Litre Dehumidifier,160.0,4.3,65,extraction_rate: 20L per day,coverage: Up to 60m²,water_tank: 3L,power_consumption: 300W,https://www.argos.co.uk/product/3206090.do
Dehumidifiers,4,Bush,Bush DH-CSK03 3L Dehumidifier & Air Purifier,70.0,4.4,250,extraction_rate: 3L per day,coverage: Up to 15m² (small rooms),water_tank: 0.8L,power_consumption: 40W (Peltier/thermoelectric),https://www.argos.co.uk/product/7295409.do
Dehumidifiers,5,Ecostrure,Ecostrure PureDry 12L Compressor Dehumidifier,129.99,4.3,487,extraction_rate: 12L per day,coverage: Up to 40m²,water_tank: 2L,power_consumption: 190W,https://www.argos.co.uk/product/5095631.do
Kitchen Knives,1,Wusthof,"Wusthof Classic Ikon 8"" Chef's Knife",129.99,4.9,542,blade_length: 20cm (8 inches),blade_material: High-carbon stainless steel,handle_material: Polyoxymethylene (POM) with full bolster,hardness: 58 HRC,https://www.argos.co.uk/product/8614052.do
Kitchen Knives,2,ZWILLING,ZWILLING Professional S 20cm Chef's Knife,89.99,4.8,387,blade_length: 20cm (8 inches),blade_material: FRIODUR ice-hardened special formula steel,handle_material: Polypropylene with ergonomic grip,hardness: 57 HRC,https://www.argos.co.uk/product/6482019.do
Kitchen Knives,3,Joseph Joseph,Joseph Joseph Duo 5pc Knife Block Set,40.0,4.8,182,"blade_length: Various (includes 20cm chef, 15cm utility, 10cm paring, bread knife, shears)",blade_material: Japanese stainless steel,handle_material: PP with soft-grip,set_includes: 5 knives + bamboo block,https://www.argos.co.uk/product/3037087.do
Kitchen Knives,4,Victorinox,Victorinox Fibrox Pro 20cm Chef's Knife,37.99,4.8,2874,blade_length: 20cm (8 inches),blade_material: High-carbon stainless steel,handle_material: Fibrox (slip-resistant thermoplastic),hardness: 56 HRC,https://www.argos.co.uk/product/2971485.do
Kitchen Knives,5,Tower,Tower XEC20 Electric Knife,16.0,4.4,369,blade_length: 15cm serrated stainless steel blades (pair),blade_material: Stainless steel,power: 100W motor,"features: Safety lock, ergonomic handle, includes storage case, release button for blades",https://www.argos.co.uk/product/3631627.do
Robot Vacuums,1,Shark,Shark PowerDetect NeverTouch Pro 2-in-1 Robot Vacuum Cleaner,399.99,4.2,200,runtime: Up to 180 minutes,dustbin_capacity: 0.45L,navigation: 360 LiDAR mapping,"features: Self-cleaning brushroll, never-touch base, precision home mapping",https://www.argos.co.uk/product/4079415.do
Robot Vacuums,2,Shark,Shark Matrix Plus 2-in-1 Cordless Robot Vacuum & Mop,199.99,4.1,146,runtime: Up to 120 minutes,dustbin_capacity: 0.35L,navigation: Precision home mapping with LiDAR,"features: 2-in-1 vacuum & mop, anti-hair wrap, Matrix Clean grid navigation",https://www.argos.co.uk/product/7229437.do
Robot Vacuums,3,eufy,eufy X10 Pro Omni Robot Vacuum & Mop with All-in-One Station,599.0,4.6,177,runtime: Up to 260 minutes,dustbin_capacity: 0.4L,navigation: iPath laser navigation,"features: Auto-empty station, mop washing & drying, 8000Pa suction, obstacle avoidance",https://www.argos.co.uk/product/5796948.do
Robot Vacuums,4,eufy,eufy L60 Hybrid Robot Vacuum & Mop with Self-Empty Station,400.0,4.6,122,runtime: Up to 180 minutes,dustbin_capacity: 0.4L,navigation: iPath laser navigation with multi-floor mapping,"features: Self-empty station, 5000Pa suction, auto-lifting mop, pet-friendly",https://www.argos.co.uk/product/4747833.do
Robot Vacuums,5,Hoover,Hoover HG2 Turbo Slim Hydro Robot Vacuum Cleaner,189.99,4.7,19,runtime: Up to 150 minutes,dustbin_capacity: 0.35L,water_tank: 0.25L,navigation: Gyro navigation with app control,https://www.argos.co.uk/product/7750315.do
